ranking,nombre,puntuacion,votos,tipo,episodios,duracion,demografia,source,rating_edad,miembros,favoritos
45,Monogatari Series: Second Season,8.76,,TV,26,25 min. per ep.,,Light novel,R - 17+ (violence & profanity),"701,836","23,972"
46,Ashita no Joe 2,8.75,,TV,47,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"62,313","3,070"
47,Bocchi the Rock!,8.75,,TV,12,23 min. per ep.,,4-koma manga,PG-13 - Teens 13 or older,"709,184","33,660"
48,Cowboy Bebop,8.75,,TV,26,24 min. per ep.,,Action,R - 17+ (violence & profanity),"1,981,823","86,829"
49,Boku no Kokoro no Yabai Yatsu 2nd Season,8.74,,TV,13,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"270,075","5,699"
50,Jujutsu Kaisen 2nd Season,8.74,,TV,23,23 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"1,215,153","24,537"
51,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.73,,Movie,1,1 hr. 36 min.,Seinen,Manga,PG-13 - Teens 13 or older,"335,163","2,190"
52,Kingdom 4th Season,8.73,,TV,26,24 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"80,068","1,129"
53,One Piece,8.73,,TV,Unknown,24 min.,Shounen,Manga,PG-13 - Teens 13 or older,"2,550,233","239,850"
54,Kingdom 5th Season,8.72,,TV,13,24 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"51,828",552
55,Mushishi Zoku Shou 2nd Season,8.72,,TV,10,23 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"283,935","1,552"
56,86 Part 2,8.72,,TV,12,23 min. per ep.,,Light novel,R - 17+ (violence & profanity),"588,761","17,262"
57,Shiguang Dailiren,8.72,,ONA,11,23 min. per ep.,,Drama,PG-13 - Teens 13 or older,"442,478","13,839"
58,The First Slam Dunk,8.72,,Movie,1,2 hr. 4 min.,Shounen,Manga,PG-13 - Teens 13 or older,"67,058",948
59,Kimetsu no Yaiba: Yuukaku-hen,8.71,,TV,11,26 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"1,617,357","24,988"
60,Mob Psycho 100 III,8.71,,TV,12,23 min. per ep.,,Web manga,PG-13 - Teens 13 or older,"792,248","11,757"
61,Chi. Chikyuu no Undou ni Tsuite,8.71,,TV,25,25 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"218,128","4,687"
